,WELL,SAMPLE,CONCENTRATION,TARGET,POSITIVES,NEGATIVES,CH1+CH2+,CH1+CH2-,CH1-CH2+,CH1-CH2-,ACCEPTEDDROPLETS,ESTIMATED_PERCENTAGE,SAME_EST_WITHIN_SAMPLE
1,E01,NC,0,1,0,22446,0,0,0,22446,22446,NA,NA
2,F01,NC,0,1,0,21215,0,0,0,21215,21215,NA,NA
3,E01,NC,0,2,0,22446,0,0,0,22446,22446,NA,NA
4,F01,NC,0,2,0,21215,0,0,0,21215,21215,NA,NA
5,G01,NTC,0,1,0,21409,0,0,0,21409,21409,NA,NA
6,H01,NTC,0,1,0,21281,0,0,0,21281,21281,NA,NA
7,G01,NTC,0,2,0,21409,0,0,0,21409,21409,NA,NA
8,H01,NTC,0,2,0,21281,0,0,0,21281,21281,NA,NA
9,A01,PC_1,409,1,6584,15845,6071,513,310,15535,22429,85.77,TRUE
10,A01,PC_1,394,2,6381,16048,6071,513,310,15535,22429,85.77,TRUE
11,B01,PC_2,218,1,3493,17144,3198,295,202,16942,20637,85.24,TRUE
12,B01,PC_2,212,2,3400,17237,3198,295,202,16942,20637,85.24,TRUE
13,C01,PC_3,109,1,1803,18609,1647,156,93,18516,20412,86.25,TRUE
14,C01,PC_3,104.8,2,1740,18672,1647,156,93,18516,20412,86.25,TRUE
15,D01,PC_4,52.6,1,923,20196,830,93,44,20152,21119,85.51,TRUE
16,D01,PC_4,49.7,2,874,20245,830,93,44,20152,21119,85.51,TRUE
17,A02,S01_1,402,1,6306,15476,5853,453,283,15193,21782,86.72,TRUE
18,A02,S01_1,389,2,6136,15646,5853,453,283,15193,21782,86.72,TRUE
19,B02,S01_2,198,1,3303,18042,3039,264,194,17848,21345,85.75,TRUE
20,B02,S01_2,193,2,3233,18112,3039,264,194,17848,21345,85.75,TRUE
21,C02,S01_3,102.8,1,1788,19577,1642,146,117,19460,21365,85.58,TRUE
22,C02,S01_3,101.1,2,1759,19606,1642,146,117,19460,21365,85.58,TRUE
23,D02,S01_4,56.6,1,1008,20457,907,101,67,20390,21465,83.99,TRUE
24,D02,S01_4,54.6,2,974,20491,907,101,67,20390,21465,83.99,TRUE
25,E02,S02_1,305,1,4251,14345,3969,282,1660,12685,18596,62.1,TRUE
26,E02,S02_1,424,2,5629,12967,3969,282,1660,12685,18596,62.1,TRUE
27,F02,S02_2,152,1,2498,18058,2303,195,1121,16937,20556,60.99,TRUE
28,F02,S02_2,214,2,3424,17132,2303,195,1121,16937,20556,60.99,TRUE
29,G02,S02_3,78.1,1,1367,19907,1246,121,611,19296,21274,61.65,TRUE
30,G02,S02_3,107.5,2,1857,19417,1246,121,611,19296,21274,61.65,TRUE
31,H02,S02_4,39.5,1,665,19485,614,51,320,19165,20150,61.63,TRUE
32,H02,S02_4,55.8,2,934,19216,614,51,320,19165,20150,61.63,TRUE
33,A03,S03_1,188,1,3127,18068,2938,189,3402,14666,21195,39.87,TRUE
34,A03,S03_1,418,2,6340,14855,2938,189,3402,14666,21195,39.87,TRUE
35,B03,S03_2,96.7,1,1553,18128,1444,109,1917,16211,19681,38.92,TRUE
36,B03,S03_2,220,2,3361,16320,1444,109,1917,16211,19681,38.92,TRUE
37,C03,S03_3,51.6,1,875,19525,813,62,1044,18481,20400,40.98,TRUE
38,C03,S03_3,112,2,1857,18543,813,62,1044,18481,20400,40.98,TRUE
39,D03,S03_4,23.7,1,425,20844,384,41,628,20216,21269,35.71,TRUE
40,D03,S03_4,57.4,2,1012,20257,384,41,628,20216,21269,35.71,TRUE
41,E03,S04_1,103.7,1,1770,19216,1662,108,5312,13904,20986,19.52,TRUE
42,E03,S04_1,475,2,6974,14012,1662,108,5312,13904,20986,19.52,TRUE
43,F03,S04_2,56.6,1,926,18773,866,60,3084,15689,19699,19.47,TRUE
44,F03,S04_2,263,2,3950,15749,866,60,3084,15689,19699,19.47,TRUE
45,G03,S04_3,24.6,1,419,19822,395,24,1581,18241,20241,18.82,TRUE
46,G03,S04_3,121,2,1976,18265,395,24,1581,18241,20241,18.82,TRUE
47,H03,S04_4,13.3,1,228,20103,212,16,976,19127,20331,17.1,TRUE
48,H03,S04_4,70.8,2,1188,19143,212,16,976,19127,20331,17.1,TRUE
49,A04,S05_1,54.4,1,1016,21473,960,56,6537,14936,22489,10.38,TRUE
50,A04,S05_1,477,2,7497,14992,960,56,6537,14936,22489,10.38,TRUE
51,B04,S05_2,27.7,1,515,21654,483,32,3778,17876,22169,10.08,TRUE
52,B04,S05_2,251,2,4261,17908,483,32,3778,17876,22169,10.08,TRUE
53,C04,S05_3,14.9,1,269,21132,250,19,1989,19143,21401,10.45,TRUE
54,C04,S05_3,130,2,2239,19162,250,19,1989,19143,21401,10.45,TRUE
55,D04,S05_4,6.4,1,115,21077,106,9,1046,20031,21192,8.86,TRUE
56,D04,S05_4,65.8,2,1152,20040,106,9,1046,20031,21192,8.86,TRUE
57,E04,S06_1,28.5,1,499,20358,469,30,6734,13624,20857,5.17,TRUE
58,E04,S06_1,498,2,7203,13654,469,30,6734,13624,20857,5.17,TRUE
59,F04,S06_2,15.6,1,289,21597,271,18,4052,17545,21886,5.54,TRUE
60,F04,S06_2,259,2,4323,17563,271,18,4052,17545,21886,5.54,TRUE
61,G04,S06_3,8.1,1,136,19738,123,13,2021,17717,19874,5.33,TRUE
