Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
H01,Absolute Quantification,ABS,NC,Ch1Negative Control,2,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18660,0,0,0,18660,0,18660,,,,,,,,,,,,,,,,,,1,1,6490,0,4122.6,4122.6,,,,,0.086,0,,,,,,,,,,,,
H02,Absolute Quantification,ABS,NC,Ch1Negative Control,2,Manual,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.29,0,1,19351,0,1,3,19348,0,19352,,,,,,,,,,,,,,,,,,1,1,6490,10786,4145.2,4145.6,,,,,0.15,0.02,,,,,,,,,,,,
H01,Absolute Quantification,ABS,NC,Ch2Negative Control,1,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18660,0,0,0,18660,0,18660,,,,,,,,,,,,,,,,,,1,1,4129,0,2280.4,2280.4,,,,,0.086,0,,,,,,,,,,,,
H02,Absolute Quantification,ABS,NC,Ch2Negative Control,1,Manual,0.18,ddPCR Supermix for Probes (no dUTP),3.6,,,0.48,0.04,3,19349,0,1,3,19348,0,19352,,,,,,,,,,,,,,,,,,1,1,4129,8706,2302.9,2303.9,,,,,0.31,0.09,,,,,,,,,,,,
H03,Absolute Quantification,ABS,NTC,Ch1NTC,2,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19273,0,0,0,19273,0,19273,,,,,,,,,,,,,,,,,,1,1,6490,0,4266.7,4266.7,,,,,0.084,0,,,,,,,,,,,,
H04,Absolute Quantification,ABS,NTC,Ch1NTC,2,Manual,0.07,ddPCR Supermix for Probes (no dUTP),1.4,,,0.31,0,1,17909,1,0,2,17907,0.0657,17910,,,,,,,,,,,,,,,,,,1,1,6490,11232,4309,4309.4,,,,,0.16,0.02,,,,,,,,,,,,
H03,Absolute Quantification,ABS,NTC,Ch2NTC,1,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19273,0,0,0,19273,0,19273,,,,,,,,,,,,,,,,,,1,1,4129,0,2369.2,2369.2,,,,,0.084,0,,,,,,,,,,,,
H04,Absolute Quantification,ABS,NTC,Ch2NTC,1,Manual,0.2,ddPCR Supermix for Probes (no dUTP),4,,,0.52,0.05,3,17907,1,0,2,17907,0.0657,17910,,,,,,,,,,,,,,,,,,1,1,4129,9020.6,2406,2407.1,,,,,0.34,0.1,,,,,,,,,,,,
A01,Absolute Quantification,ABS,S1_01,Ch1Unknown,2,Manual,4670,ddPCR Supermix for Probes (no dUTP),93400,,,4810,4550,16647,320,16394,253,115,205,3730,16967,,,,,,,,1.099,,,1.14,1.058,52.4,,,53.3,51.4,1,1,6490,10840,3864,10709,,,,,4740,4610,,,,,,,1.12,1.078,,,52.84,51.89
A01,Absolute Quantification,ABS,S1_01,Ch2Unknown,1,Manual,4250,ddPCR Supermix for Probes (no dUTP),85000,,,4360,4150,16509,458,16394,253,115,205,3730,16967,,,,,,,,1.099,,,1.14,1.058,52.4,,,53.3,51.4,1,1,4129,8750.7,2416.2,8579.7,,,,,4310,4200,,,,,,,1.12,1.078,,,52.84,51.89
A02,Absolute Quantification,ABS,S1_02,Ch1Unknown,2,Manual,3720,ddPCR Supermix for Probes (no dUTP),74400,,,3800,3640,17141,761,16751,390,190,571,3100,17902,,,,,,,,1.08,,,1.113,1.047,51.9,,,52.7,51.2,1,1,6490,10813,3916.2,10520,,,,,3758,3674,,,,,,,1.097,1.063,,,52.31,51.53
A02,Absolute Quantification,ABS,S1_02,Ch2Unknown,1,Manual,3440,ddPCR Supermix for Probes (no dUTP),68800,,,3520,3370,16941,961,16751,390,190,571,3100,17902,,,,,,,,1.08,,,1.113,1.047,51.9,,,52.7,51.2,1,1,4129,8730.5,2360,8388.5,,,,,3478,3404,,,,,,,1.097,1.063,,,52.31,51.53
