Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
E01,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20970,0,0,0,20970,0,20970,,,,,,,,,,,,,,,,,,1,1,0,0,3431.8,3431.8,,,,,0.077,0,,,,,,,,,,,,
F01,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20672,0,0,0,20672,0,20672,,,,,,,,,,,,,,,,,,1,1,0,0,3512.4,3512.4,,,,,0.078,0,,,,,,,,,,,,
E01,Absolute Quantification,ABS,NC,Ch2Negative Control,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20970,0,0,0,20970,0,20970,,,,,,,,,,,,,,,,,,1,1,0,0,1044.3,1044.3,,,,,0.077,0,,,,,,,,,,,,
F01,Absolute Quantification,ABS,NC,Ch2Negative Control,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20672,0,0,0,20672,0,20672,,,,,,,,,,,,,,,,,,1,1,0,0,1082.4,1082.4,,,,,0.078,0,,,,,,,,,,,,
G01,Absolute Quantification,ABS,NTC,Ch1NTC,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19230,0,0,0,19230,0,19230,,,,,,,,,,,,,,,,,,1,1,0,0,3696.6,3696.6,,,,,0.084,0,,,,,,,,,,,,
H01,Absolute Quantification,ABS,NTC,Ch1NTC,1,Multi,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.29,0,1,19291,0,1,0,19291,0,19292,,,,,,,,,,,,,,,,,,1,1,0,9988.8,3705.8,3706.1,,,,,0.15,0.02,,,,,,,,,,,,
G01,Absolute Quantification,ABS,NTC,Ch2NTC,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19230,0,0,0,19230,0,19230,,,,,,,,,,,,,,,,,,1,1,0,0,1141.8,1141.8,,,,,0.084,0,,,,,,,,,,,,
H01,Absolute Quantification,ABS,NTC,Ch2NTC,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19292,0,1,0,19291,0,19292,,,,,,,,,,,,,,,,,,1,1,0,0,1147.5,1147.5,,,,,0.083,0,,,,,,,,,,,,
A01,Absolute Quantification,ABS,PC_1,Ch1Positive Control,1,Multi,417,ddPCR Supermix for Probes (no dUTP),8340,,,428,407,5638,13238,5231,407,287,12951,381,18876,,,,,,,,,,,,,,,,,,1,1,0,10085,3437.3,5423,,,,,423,412,,,,,,,,,,,,
A01,Absolute Quantification,ABS,PC_1,Ch2Positive Control,2,Multi,407,ddPCR Supermix for Probes (no dUTP),8140,,,418,396,5518,13358,5231,407,287,12951,381,18876,,,,,,,,,,,,,,,,,,1,1,0,7660.7,1057.2,2987.6,,,,,412,401,,,,,,,,,,,,
B01,Absolute Quantification,ABS,PC_2,Ch1Positive Control,1,Multi,213,ddPCR Supermix for Probes (no dUTP),4260,,,221,206,3124,15735,2879,245,182,15553,195,18859,,,,,,,,,,,,,,,,,,1,1,0,10311,3545.6,4666.3,,,,,216.9,209.3,,,,,,,,,,,,
B01,Absolute Quantification,ABS,PC_2,Ch2Positive Control,2,Multi,208,ddPCR Supermix for Probes (no dUTP),4160,,,216,201,3061,15798,2879,245,182,15553,195,18859,,,,,,,,,,,,,,,,,,1,1,0,7953.4,1078.1,2194.1,,,,,212.1,204.6,,,,,,,,,,,,
C01,Absolute Quantification,ABS,PC_3,Ch1Positive Control,1,Multi,108,ddPCR Supermix for Probes (no dUTP),2160,,,113,103,1744,18146,1590,154,102,18044,98,19890,,,,,,,,,,,,,,,,,,1,1,0,10556,3634.1,4241,,,,,110.6,105.4,,,,,,,,,,,,
C01,Absolute Quantification,ABS,PC_3,Ch2Positive Control,2,Multi,104.6,ddPCR Supermix for Probes (no dUTP),2092,,,109.6,99.6,1692,18198,1590,154,102,18044,98,19890,,,,,,,,,,,,,,,,,,1,1,0,8134.3,1106.8,1704.7,,,,,107.1,102.1,,,,,,,,,,,,
D01,Absolute Quantification,ABS,PC_4,Ch1Positive Control,1,Multi,51.1,ddPCR Supermix for Probes (no dUTP),1022,,,54.5,47.7,857,19312,781,76,82,19230,46.4,20169,,,,,,,,,,,,,,,,,,1,1,0,10546,3648,3941.1,,,,,52.8,49.3,,,,,,,,,,,,
D01,Absolute Quantification,ABS,PC_4,Ch2Positive Control,2,Multi,51.4,ddPCR Supermix for Probes (no dUTP),1028,,,54.9,48,863,19306,781,76,82,19230,46.4,20169,,,,,,,,,,,,,,,,,,1,1,0,8119.3,1106.6,1406.6,,,,,53.2,49.7,,,,,,,,,,,,
A02,Absolute Quantification,ABS,S01_1,Ch1Unknown,1,Multi,430,ddPCR Supermix for Probes (no dUTP),8600,,,441,419,5984,13562,5562,422,270,13292,393,19546,,,,,,,,1.031,,,1.069,0.994,50.8,,,51.7,49.9,1,1,0,9948.6,3441.6,5433.7,,,,,436,424,,,,,,,1.051,1.012,,,51.24,50.31
A02,Absolute Quantification,ABS,S01_1,Ch2Unknown,2,Multi,417,ddPCR Supermix for Probes (no dUTP),8340,,,428,406,5832,13714,5562,422,270,13292,393,19546,,,,,,,,1.031,,,1.069,0.994,50.8,,,51.7,49.9,1,1,0,7575.1,1065.8,3008,,,,,422,411,,,,,,,1.051,1.012,,,51.24,50.31
B02,Absolute Quantification,ABS,S01_2,Ch1Unknown,1,Multi,219,ddPCR Supermix for Probes (no dUTP),4380,,,226,211,3481,17037,3180,301,167,16870,198,20518,,,,,,,,1.044,,,1.094,0.994,51.1,,,52.3,49.9,1,1,0,10100,3515.4,4632.5,,,,,222.4,215,,,,,,,1.069,1.019,,,51.7,50.5
B02,Absolute Quantification,ABS,S01_2,Ch2Unknown,2,Multi,210,ddPCR Supermix for Probes (no dUTP),4200,,,217,202,3347,17171,3180,301,167,16870,198,20518,,,,,,,,1.044,,,1.094,0.994,51.1,,,52.3,49.9,1,1,0,7762.1,1075.9,2166.6,,,,,213.1,205.9,,,,,,,1.069,1.019,,,51.7,50.5
C02,Absolute Quantification,ABS,S01_3,Ch1Unknown,1,Multi,107,ddPCR Supermix for Probes (no dUTP),2140,,,112,102,1732,18238,1562,170,89,18149,95.8,19970,,,,,,,,1.05,,,1.12,0.98,51.3,,,52.9,49.6,1,1,0,10219,3571.4,4147.9,,,,,109.3,104.2,,,,,,,1.088,1.015,,,52.1,50.4
C02,Absolute Quantification,ABS,S01_3,Ch2Unknown,2,Multi,101.5,ddPCR Supermix for Probes (no dUTP),2030,,,106.4,96.6,1651,18319,1562,170,89,18149,95.8,19970,,,,,,,,1.05,,,1.12,0.98,51.3,,,52.9,49.6,1,1,0,7858.4,1087.7,1647.4,,,,,104,99,,,,,,,1.088,1.015,,,52.1,50.4
D02,Absolute Quantification,ABS,S01_4,Ch1Unknown,1,Multi,58.4,ddPCR Supermix for Probes (no dUTP),1168,,,62.2,54.7,920,18062,830,90,58,18004,52.6,18982,,,,,,,,1.04,,,1.13,0.94,50.9,,,53.2,48.6,1,1,0,10373,3667.2,3992.2,,,,,60.4,56.5,,,,,,,1.086,0.988,,,52.1,49.7
D02,Absolute Quantification,ABS,S01_4,Ch2Unknown,2,Multi,56.4,ddPCR Supermix for Probes (no dUTP),1128,,,60.1,52.7,888,18094,830,90,58,18004,52.6,18982,,,,,,,,1.04,,,1.13,0.94,50.9,,,53.2,48.6,1,1,0,7973,1124.7,1445.1,,,,,58.3,54.5,,,,,,,1.086,0.988,,,52.1,49.7
E02,Absolute Quantification,ABS,S02_1,Ch1Unknown,1,Multi,311,ddPCR Supermix for Probes (no dUTP),6220,,,321,302,4379,14447,4091,288,1811,12636,285,18826,,,,,,,,0.704,,,0.731,0.676,41.3,,,42.3,40.4,1,1,0,10016,3526.4,5036,,,,,316.2,306.8,,,,,,,0.718,0.69,,,41.79,40.82
E02,Absolute Quantification,ABS,S02_1,Ch2Unknown,2,Multi,443,ddPCR Supermix for Probes (no dUTP),8860,,,454,431,5902,12924,4091,288,1811,12636,285,18826,,,,,,,,0.704,,,0.731,0.676,41.3,,,42.3,40.4,1,1,0,7614.2,1080,3128.5,,,,,448,437,,,,,,,0.718,0.69,,,41.79,40.82
F02,Absolute Quantification,ABS,S02_2,Ch1Unknown,1,Multi,167,ddPCR Supermix for Probes (no dUTP),3340,,,173,161,2677,17541,2472,205,1198,16343,152,20218,,,,,,,,0.709,,,0.744,0.674,41.5,,,42.7,40.3,1,1,0,10269,3618.8,4499.3,,,,,170.3,163.9,,,,,,,0.727,0.691,,,42.1,40.9
F02,Absolute Quantification,ABS,S02_2,Ch2Unknown,2,Multi,236,ddPCR Supermix for Probes (no dUTP),4720,,,243,228,3670,16548,2472,205,1198,16343,152,20218,,,,,,,,0.709,,,0.744,0.674,41.5,,,42.7,40.3,1,1,0,7926.2,1108.3,2345.9,,,,,239.6,231.8,,,,,,,0.727,0.691,,,42.1,40.9
G02,Absolute Quantification,ABS,S02_3,Ch1Unknown,1,Multi,79.8,ddPCR Supermix for Probes (no dUTP),1596,,,84,75.5,1343,19147,1219,124,703,18444,71.9,20490,,,,,,,,0.688,,,0.736,0.64,40.8,,,42.5,39.1,1,1,0,10392,3670.7,4111.3,,,,,81.9,77.6,,,,,,,0.713,0.664,,,41.6,39.9
G02,Absolute Quantification,ABS,S02_3,Ch2Unknown,2,Multi,116,ddPCR Supermix for Probes (no dUTP),2320,,,121,111,1922,18568,1219,124,703,18444,71.9,20490,,,,,,,,0.688,,,0.736,0.64,40.8,,,42.5,39.1,1,1,0,8032.5,1132.4,1779.6,,,,,118.5,113.2,,,,,,,0.713,0.664,,,41.6,39.9
H02,Absolute Quantification,ABS,S02_4,Ch1Unknown,1,Multi,42.4,ddPCR Supermix for Probes (no dUTP),848,,,45.6,39.3,706,19217,647,59,353,18864,38.8,19923,,,,,,,,0.7,,,0.77,0.63,41.2,,,43.5,38.9,1,1,0,10560,3730.1,3972.1,,,,,44,40.9,,,,,,,0.735,0.666,,,42.4,40
H02,Absolute Quantification,ABS,S02_4,Ch2Unknown,2,Multi,60.6,ddPCR Supermix for Probes (no dUTP),1212,,,64.3,56.8,1000,18923,647,59,353,18864,38.8,19923,,,,,,,,0.7,,,0.77,0.63,41.2,,,43.5,38.9,1,1,0,8140,1149.6,1500.4,,,,,62.5,58.7,,,,,,,0.735,0.666,,,42.4,40
A03,Absolute Quantification,ABS,S03_1,Ch1Unknown,1,Multi,208,ddPCR Supermix for Probes (no dUTP),4160,,,215,201,3180,16433,2975,205,3415,13018,190,19613,,,,,,,,0.449,,,0.468,0.43,31,,,31.9,30.1,1,1,0,10006,3559,4604.3,,,,,211.8,204.4,,,,,,,0.458,0.439,,,31.44,30.51
A03,Absolute Quantification,ABS,S03_1,Ch2Unknown,2,Multi,464,ddPCR Supermix for Probes (no dUTP),9280,,,475,452,6390,13223,2975,205,3415,13018,190,19613,,,,,,,,0.449,,,0.468,0.43,31,,,31.9,30.1,1,1,0,7574.5,1080.3,3196.1,,,,,470,458,,,,,,,0.458,0.439,,,31.44,30.51
B03,Absolute Quantification,ABS,S03_2,Ch1Unknown,1,Multi,108,ddPCR Supermix for Probes (no dUTP),2160,,,113,103,1779,18445,1649,130,2170,16275,99,20224,,,,,,,,0.44,,,0.465,0.415,30.6,,,31.7,29.4,1,1,0,10285,3657.9,4240.9,,,,,110.9,105.8,,,,,,,0.453,0.427,,,31.2,29.9
B03,Absolute Quantification,ABS,S03_2,Ch2Unknown,2,Multi,246,ddPCR Supermix for Probes (no dUTP),4920,,,254,238,3819,16405,1649,130,2170,16275,99,20224,,,,,,,,0.44,,,0.465,0.415,30.6,,,31.7,29.4,1,1,0,7899,1118.8,2399.1,,,,,250.2,242.2,,,,,,,0.453,0.427,,,31.2,29.9
C03,Absolute Quantification,ABS,S03_3,Ch1Unknown,1,Multi,55.2,ddPCR Supermix for Probes (no dUTP),1104,,,58.7,51.7,961,20011,875,86,1222,18789,49.8,20972,,,,,,,,0.445,,,0.479,0.411,30.8,,,32.4,29.2,1,1,0,10397,3693.8,4001,,,,,57,53.4,,,,,,,0.463,0.428,,,31.6,30
C03,Absolute Quantification,ABS,S03_3,Ch2Unknown,2,Multi,124,ddPCR Supermix for Probes (no dUTP),2480,,,129,119,2097,18875,875,86,1222,18789,49.8,20972,,,,,,,,0.445,,,0.479,0.411,30.8,,,32.4,29.2,1,1,0,7984.3,1137.5,1822.1,,,,,126.7,121.2,,,,,,,0.463,0.428,,,31.6,30
D03,Absolute Quantification,ABS,S03_4,Ch1Unknown,1,Multi,28.8,ddPCR Supermix for Probes (no dUTP),576,,,31.3,26.2,483,19518,421,62,620,18898,24.9,20001,,,,,,,,0.457,,,0.507,0.408,31.4,,,33.7,29.1,1,1,0,10469,3739.8,3902.3,,,,,30.1,27.5,,,,,,,0.483,0.432,,,32.6,30.2
