Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
E01,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0.11,ddPCR Supermix for Probes (no dUTP),2.2,,,0.35,0.02,2,21255,0,2,0,21255,0,21257,,,,,,,,,,,,,,,,,,1,1,0,7366,3652.7,3653,,,,,0.21,0.05,,,,,,,,,,,,
F01,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20328,0,0,0,20328,0,20328,,,,,,,,,,,,,,,,,,1,1,0,0,3736.8,3736.8,,,,,0.079,0,,,,,,,,,,,,
E01,Absolute Quantification,ABS,NC,Ch2Negative Control,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,21257,0,2,0,21255,0,21257,,,,,,,,,,,,,,,,,,1,1,0,0,1045.8,1045.8,,,,,0.076,0,,,,,,,,,,,,
F01,Absolute Quantification,ABS,NC,Ch2Negative Control,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20328,0,0,0,20328,0,20328,,,,,,,,,,,,,,,,,,1,1,0,0,1079.5,1079.5,,,,,0.079,0,,,,,,,,,,,,
G01,Absolute Quantification,ABS,NTC,Ch1NTC,1,Multi,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.31,0,1,18100,0,1,0,18100,0,18101,,,,,,,,,,,,,,,,,,1,1,0,10386,3967.7,3968.1,,,,,0.16,0.02,,,,,,,,,,,,
H01,Absolute Quantification,ABS,NTC,Ch1NTC,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,20068,0,0,0,20068,0,20068,,,,,,,,,,,,,,,,,,1,1,0,0,3939.3,3939.3,,,,,0.08,0,,,,,,,,,,,,
G01,Absolute Quantification,ABS,NTC,Ch2NTC,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18101,0,1,0,18100,0,18101,,,,,,,,,,,,,,,,,,1,1,0,0,1173.1,1173.1,,,,,0.089,0,,,,,,,,,,,,
H01,Absolute Quantification,ABS,NTC,Ch2NTC,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,20068,0,0,0,20068,0,20068,,,,,,,,,,,,,,,,,,1,1,0,0,1160.8,1160.8,,,,,0.08,0,,,,,,,,,,,,
A01,Absolute Quantification,ABS,PC_1,Ch1Positive Control,1,Multi,436,ddPCR Supermix for Probes (no dUTP),8720,,,447,425,6282,14011,5901,381,2452,11559,398,20293,,,,,,,,,,,,,,,,,,1,1,0,10525,3696.6,5810.4,,,,,441,430,,,,,,,,,,,,
A01,Absolute Quantification,ABS,PC_1,Ch2Positive Control,2,Multi,624,ddPCR Supermix for Probes (no dUTP),12480,,,638,611,8353,11940,5901,381,2452,11559,398,20293,,,,,,,,,,,,,,,,,,1,1,0,7729.7,1058.5,3804.5,,,,,631,617,,,,,,,,,,,,
B01,Absolute Quantification,ABS,PC_2,Ch1Positive Control,1,Multi,233,ddPCR Supermix for Probes (no dUTP),4660,,,240,225,3737,17079,3464,273,1505,15574,212,20816,,,,,,,,,,,,,,,,,,1,1,0,10957,3818.6,5100.1,,,,,236.6,229,,,,,,,,,,,,
