,WELL,SAMPLE,CONCENTRATION,TARGET,POSITIVES,NEGATIVES,CH1+CH2+,CH1+CH2-,CH1-CH2+,CH1-CH2-,ACCEPTEDDROPLETS,ESTIMATED_PERCENTAGE,SAME_EST_WITHIN_SAMPLE
1,A01,1_1,785,1,9632,10148,8438,1194,2572,7576,19780,54.29,TRUE
2,A01,1_1,957,2,11010,8770,8438,1194,2572,7576,19780,54.29,TRUE
3,A02,1_2,392,1,5652,14282,4794,858,1813,12469,19934,56.88,TRUE
4,A02,1_2,474,2,6607,13327,4794,858,1813,12469,19934,56.88,TRUE
5,A03,1_3,203,1,3099,16430,2530,569,1062,15368,19529,56.94,TRUE
6,A03,1_3,239,2,3592,15937,2530,569,1062,15368,19529,56.94,TRUE
7,A04,1_4,94.2,1,1516,18189,1221,295,659,17530,19705,54.17,TRUE
8,A04,1_4,118,2,1880,17825,1221,295,659,17530,19705,54.17,TRUE
9,A05,1_5,52.6,1,869,18990,679,190,320,18670,19859,56.07,TRUE
10,A05,1_5,60.7,2,999,18860,679,190,320,18670,19859,56.07,TRUE
11,A06,1_6,25.1,1,387,17957,291,96,156,17801,18344,53.05,TRUE
12,A06,1_6,29,2,447,17897,291,96,156,17801,18344,53.05,TRUE
13,B01,2_1,801,1,9628,9872,7996,1632,3039,6833,19500,44.49,TRUE
14,B01,2_1,982,2,11035,8465,7996,1632,3039,6833,19500,44.49,TRUE
15,B02,2_2,404,1,6319,15411,4944,1375,2507,12904,21730,46.5,TRUE
16,B02,2_2,494,2,7451,14279,4944,1375,2507,12904,21730,46.5,TRUE
17,B03,2_3,206,1,3203,16733,2394,809,1381,15352,19936,47.37,TRUE
18,B03,2_3,247,2,3775,16161,2394,809,1381,15352,19936,47.37,TRUE
19,B04,2_4,106,1,1658,17659,1197,461,773,16886,19317,46.69,TRUE
20,B04,2_4,127,2,1970,17347,1197,461,773,16886,19317,46.69,TRUE
21,B05,2_5,48.3,1,843,20101,602,241,440,19661,20944,45.68,TRUE
22,B05,2_5,60,2,1042,19902,602,241,440,19661,20944,45.68,TRUE
23,B06,2_6,24.8,1,394,18522,284,110,208,18314,18916,46.5,TRUE
24,B06,2_6,31,2,492,18424,284,110,208,18314,18916,46.5,TRUE
25,C01,3_1,794,1,9542,9892,7823,1719,3101,6791,19434,42.77,TRUE
26,C01,3_1,972,2,10924,8510,7823,1719,3101,6791,19434,42.77,TRUE
27,C02,3_2,411,1,6102,14610,4614,1488,2485,12125,20712,43.56,TRUE
28,C02,3_2,494,2,7099,13613,4614,1488,2485,12125,20712,43.56,TRUE
29,C03,3_3,198,1,3270,17861,2397,873,1645,16216,21131,43.7,TRUE
30,C03,3_3,250,2,4042,17089,2397,873,1645,16216,21131,43.7,TRUE
31,C04,3_4,100,1,1655,18647,1190,465,847,17800,20302,45.05,TRUE
32,C04,3_4,124,2,2037,18265,1190,465,847,17800,20302,45.05,TRUE
33,C05,3_5,49.2,1,833,19514,554,279,445,19069,20347,42.01,TRUE
34,C05,3_5,59.2,2,999,19348,554,279,445,19069,20347,42.01,TRUE
35,C06,3_6,24.4,1,410,19602,270,140,212,19390,20012,42.7,TRUE
36,C06,3_6,28.7,2,482,19530,270,140,212,19390,20012,42.7,TRUE
37,D01,4_1,803,1,9913,10125,7836,2077,3564,6561,20038,36.51,TRUE
