Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,1_1,Ch1Unknown,1,Multi,784,ddPCR Supermix for Probes (no dUTP),15680,,,800,768,9891,10442,8670,1221,2585,7857,614,20333,,,,,,,,0.826,,,0.849,0.804,45.2,,,45.9,44.6,1,1,0,12397,1789.2,6949.4,,,,,792,776,,,,,,,0.838,0.815,,,45.6,44.9
A02,Absolute Quantification,ABS,1_2,Ch1Unknown,1,Multi,401,ddPCR Supermix for Probes (no dUTP),8020,,,412,391,5503,13543,4638,865,1791,11752,318,19046,,,,,,,,0.828,,,0.858,0.798,45.3,,,46.2,44.4,1,1,0,12564,1769.7,4888.7,,,,,407,396,,,,,,,0.843,0.813,,,45.75,44.84
A03,Absolute Quantification,ABS,1_3,Ch1Unknown,1,Multi,206,ddPCR Supermix for Probes (no dUTP),4120,,,214,199,3107,16203,2557,550,1077,15126,164,19310,,,,,,,,0.841,,,0.882,0.801,45.7,,,46.9,44.5,1,1,0,12710,1807.8,3561.9,,,,,210.1,202.7,,,,,,,0.862,0.821,,,46.3,45.1
A04,Absolute Quantification,ABS,1_4,Ch1Unknown,1,Multi,102,ddPCR Supermix for Probes (no dUTP),2040,,,107,97,1606,17660,1271,335,625,17035,79.5,19266,,,,,,,,0.84,,,0.9,0.78,45.7,,,47.3,44,1,1,0,12723,1797.4,2708.2,,,,,105,99.8,,,,,,,0.869,0.812,,,46.5,44.8
A05,Absolute Quantification,ABS,1_5,Ch1Unknown,1,Multi,47.9,ddPCR Supermix for Probes (no dUTP),958,,,51.4,44.5,743,17873,581,162,311,17562,37.1,18616,,,,,,,,0.83,,,0.91,0.75,45.3,,,47.8,42.9,1,1,0,12745,1812.6,2249,,,,,49.7,46.2,,,,,,,0.871,0.788,,,46.6,44.1
A06,Absolute Quantification,ABS,1_6,Ch1Unknown,1,Multi,25.2,ddPCR Supermix for Probes (no dUTP),504,,,27.6,22.9,433,19972,307,126,178,19794,17.8,20405,,,,,,,,0.89,,,1.01,0.78,47.1,,,50.4,43.9,1,1,0,12368,1761.8,1986.8,,,,,26.4,24,,,,,,,0.95,0.83,,,48.8,45.5
A07,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,1.2,ddPCR Supermix for Probes (no dUTP),24,,,1.8,0.7,18,18260,0,18,0,18260,0,18278,,,,,,,,,,,,,,,,,,1,1,0,12770,1806.8,1817.6,,,,,1.45,0.91,,,,,,,,,,,,
A08,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,1.7,ddPCR Supermix for Probes (no dUTP),34,,,2.4,1.1,27,19143,0,27,1,19142,0,19170,,,,,,,,,,,,,,,,,,1,1,0,12814,1795.2,1810.7,,,,,2,1.36,,,,,,,,,,,,
B01,Absolute Quantification,ABS,2_1,Ch1Unknown,1,Multi,829,ddPCR Supermix for Probes (no dUTP),16580,,,845,813,10556,10325,8876,1680,3188,7137,580,20881,,,,,,,,0.817,,,0.839,0.795,45,,,45.6,44.3,1,1,0,12536,1814.6,7234.6,,,,,837,820,,,,,,,0.828,0.806,,,45.3,44.62
B02,Absolute Quantification,ABS,2_2,Ch1Unknown,1,Multi,424,ddPCR Supermix for Probes (no dUTP),8480,,,434,413,6187,14272,4827,1360,2430,11842,296,20459,,,,,,,,0.822,,,0.85,0.794,45.1,,,46,44.3,1,1,0,12481,1777.6,5014.4,,,,,429,418,,,,,,,0.836,0.808,,,45.55,44.69
B03,Absolute Quantification,ABS,2_3,Ch1Unknown,1,Multi,220,ddPCR Supermix for Probes (no dUTP),4400,,,228,213,3236,15721,2413,823,1393,14328,154,18957,,,,,,,,0.835,,,0.874,0.796,45.5,,,46.7,44.3,1,1,0,12712,1810.7,3671.6,,,,,224.1,216.3,,,,,,,0.855,0.815,,,46.1,44.9
B04,Absolute Quantification,ABS,2_4,Ch1Unknown,1,Multi,104,ddPCR Supermix for Probes (no dUTP),2080,,,109,98,1620,17613,1159,461,802,16811,71.7,19233,,,,,,,,0.82,,,0.87,0.76,45,,,46.6,43.4,1,1,0,12690,1811,2727.4,,,,,106.1,100.9,,,,,,,0.846,0.791,,,45.8,44.2
B05,Absolute Quantification,ABS,2_5,Ch1Unknown,1,Multi,54.6,ddPCR Supermix for Probes (no dUTP),1092,,,58.2,51,871,18339,585,286,396,17943,36,19210,,,,,,,,0.89,,,0.97,0.8,47,,,49.2,44.7,1,1,0,12593,1801.8,2291,,,,,56.4,52.7,,,,,,,0.926,0.844,,,48.1,45.8
B06,Absolute Quantification,ABS,2_6,Ch1Unknown,1,Multi,26.2,ddPCR Supermix for Probes (no dUTP),524,,,28.6,23.8,448,19889,285,163,208,19681,16.5,20337,,,,,,,,0.91,,,1.02,0.79,47.6,,,50.8,44.4,1,1,0,12162,1727.8,1957.6,,,,,27.4,25,,,,,,,0.97,0.85,,,49.2,46
B07,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,1.5,ddPCR Supermix for Probes (no dUTP),30,,,2.2,1,25,19459,0,25,1,19458,0,19484,,,,,,,,,,,,,,,,,,1,1,0,12568,1791.6,1805.4,,,,,1.83,1.23,,,,,,,,,,,,
B08,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,1.2,ddPCR Supermix for Probes (no dUTP),24,,,1.9,0.8,20,19021,0,20,0,19021,0,19041,,,,,,,,,,,,,,,,,,1,1,0,12468,1805.5,1816.7,,,,,1.53,0.98,,,,,,,,,,,,
C01,Absolute Quantification,ABS,3_1,Ch1Unknown,1,Multi,832,ddPCR Supermix for Probes (no dUTP),16640,,,849,816,10190,9902,8392,1798,3244,6658,551,20092,,,,,,,,0.818,,,0.84,0.795,45,,,45.7,44.3,1,1,0,12486,1806.5,7223,,,,,841,824,,,,,,,0.829,0.806,,,45.33,44.64
C02,Absolute Quantification,ABS,3_2,Ch1Unknown,1,Multi,405,ddPCR Supermix for Probes (no dUTP),8100,,,416,395,6272,15241,4668,1604,2672,12569,264,21513,,,,,,,,0.826,,,0.854,0.798,45.2,,,46.1,44.4,1,1,0,12322,1759.2,4838.8,,,,,411,400,,,,,,,0.84,0.812,,,45.66,44.8
C03,Absolute Quantification,ABS,3_3,Ch1Unknown,1,Multi,207,ddPCR Supermix for Probes (no dUTP),4140,,,214,200,3336,17328,2322,1014,1697,15631,133,20664,,,,,,,,0.814,,,0.851,0.777,44.9,,,46,43.7,1,1,0,12560,1797,3534.6,,,,,210.7,203.6,,,,,,,0.833,0.795,,,45.5,44.3
C04,Absolute Quantification,ABS,3_4,Ch1Unknown,1,Multi,109,ddPCR Supermix for Probes (no dUTP),2180,,,114,104,1740,17979,1209,531,841,17138,72.8,19719,,,,,,,,0.84,,,0.9,0.79,45.7,,,47.3,44.1,1,1,0,12520,1783.7,2731.1,,,,,111.3,106.1,,,,,,,0.869,0.814,,,46.5,44.9
C05,Absolute Quantification,ABS,3_5,Ch1Unknown,1,Multi,49.9,ddPCR Supermix for Probes (no dUTP),998,,,53.4,46.4,783,18067,515,268,436,17631,32.2,18850,,,,,,,,0.82,,,0.9,0.74,45,,,47.4,42.7,1,1,0,12412,1781.5,2223.1,,,,,51.7,48.1,,,,,,,0.859,0.78,,,46.2,43.8
C06,Absolute Quantification,ABS,3_6,Ch1Unknown,1,Multi,24.3,ddPCR Supermix for Probes (no dUTP),486,,,26.6,22,444,21276,282,162,247,21029,15.3,21720,,,,,,,,0.84,,,0.94,0.73,45.6,,,48.7,42.5,1,1,0,12189,1747.5,1961,,,,,25.5,23.1,,,,,,,0.89,0.78,,,47.2,44
C07,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,1.8,ddPCR Supermix for Probes (no dUTP),36,,,2.6,1.3,33,20980,0,33,0,20980,0,21013,,,,,,,,,,,,,,,,,,1,1,0,12198,1779.8,1796.1,,,,,2.19,1.55,,,,,,,,,,,,
C08,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,1.3,ddPCR Supermix for Probes (no dUTP),26,,,1.9,0.8,22,20421,0,22,1,20420,0,20443,,,,,,,,,,,,,,,,,,1,1,0,12323,1790.7,1802,,,,,1.56,1.02,,,,,,,,,,,,
D01,Absolute Quantification,ABS,4_1,Ch1Unknown,1,Multi,841,ddPCR Supermix for Probes (no dUTP),16820,,,858,825,10285,9851,8189,2096,3602,6249,501,20136,,,,,,,,0.812,,,0.834,0.79,44.8,,,45.5,44.1,1,1,0,12602,1842.6,7338.3,,,,,850,833,,,,,,,0.823,0.8,,,45.14,44.46
D02,Absolute Quantification,ABS,4_2,Ch1Unknown,1,Multi,416,ddPCR Supermix for Probes (no dUTP),8320,,,426,405,6273,14805,4525,1748,2978,11827,253,21078,,,,,,,,0.803,,,0.83,0.776,44.5,,,45.4,43.7,1,1,0,12477,1793.4,4973,,,,,421,410,,,,,,,0.817,0.789,,,44.96,44.11
D03,Absolute Quantification,ABS,4_3,Ch1Unknown,1,Multi,214,ddPCR Supermix for Probes (no dUTP),4280,,,221,207,3502,17591,2305,1197,1876,15715,127,21093,,,,,,,,0.822,,,0.859,0.785,45.1,,,46.2,44,1,1,0,12570,1807.3,3594.2,,,,,217.2,210,,,,,,,0.841,0.803,,,45.7,44.5
D04,Absolute Quantification,ABS,4_4,Ch1Unknown,1,Multi,110,ddPCR Supermix for Probes (no dUTP),2200,,,115,105,1842,18743,1162,680,988,17755,66.1,20585,,,,,,,,0.85,,,0.9,0.8,45.9,,,47.5,44.4,1,1,0,12589,1796.4,2762.1,,,,,112.9,107.7,,,,,,,0.877,0.823,,,46.7,45.2
D05,Absolute Quantification,ABS,4_5,Ch1Unknown,1,Multi,48.7,ddPCR Supermix for Probes (no dUTP),974,,,52.2,45.3,782,18487,463,319,505,17982,28.1,19269,,,,,,,,0.8,,,0.88,0.73,44.6,,,46.9,42.2,1,1,0,12252,1771,2196.4,,,,,50.5,47,,,,,,,0.842,0.765,,,45.7,43.4
D06,Absolute Quantification,ABS,4_6,Ch1Unknown,1,Multi,24.1,ddPCR Supermix for Probes (no dUTP),482,,,26.6,21.7,387,18664,207,180,264,18400,12.7,19051,,,,,,,,0.82,,,0.93,0.71,45,,,48.4,41.7,1,1,0,12223,1766.7,1979.1,,,,,25.4,22.9,,,,,,,0.88,0.76,,,46.7,43.4
D07,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,1.7,ddPCR Supermix for Probes (no dUTP),34,,,2.4,1.1,29,20312,0,29,0,20312,0,20341,,,,,,,,,,,,,,,,,,1,1,0,12380,1798.3,1813.4,,,,,2.01,1.39,,,,,,,,,,,,
D08,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,1.4,ddPCR Supermix for Probes (no dUTP),28,,,2.1,0.9,25,20544,0,25,0,20544,0,20569,,,,,,,,,,,,,,,,,,1,1,0,12401,1770.5,1783.4,,,,,1.74,1.16,,,,,,,,,,,,
E01,Absolute Quantification,ABS,5_1,Ch1Unknown,1,Multi,823,ddPCR Supermix for Probes (no dUTP),16460,,,839,807,10272,10145,7561,2711,4291,5854,375,20417,,,,,,,,0.805,,,0.827,0.783,44.6,,,45.3,43.9,1,1,0,12655,1874.7,7298.5,,,,,831,815,,,,,,,0.816,0.794,,,44.94,44.26
E02,Absolute Quantification,ABS,5_2,Ch1Unknown,1,Multi,401,ddPCR Supermix for Probes (no dUTP),8020,,,411,390,5460,13457,3404,2056,3105,10352,188,18917,,,,,,,,0.808,,,0.837,0.778,44.7,,,45.6,43.8,1,1,0,12533,1817.4,4910.3,,,,,406,395,,,,,,,0.822,0.793,,,45.13,44.22
E03,Absolute Quantification,ABS,5_3,Ch1Unknown,1,Multi,202,ddPCR Supermix for Probes (no dUTP),4040,,,209,196,3352,17850,1848,1504,2195,15655,94.5,21202,,,,,,,,0.813,,,0.851,0.776,44.9,,,46,43.7,1,1,0,12559,1811,3510.3,,,,,206,199,,,,,,,0.832,0.794,,,45.4,44.3
E04,Absolute Quantification,ABS,5_4,Ch1Unknown,1,Multi,100.9,ddPCR Supermix for Probes (no dUTP),2018,,,105.7,96.1,1717,19173,881,836,1226,17947,47.3,20890,,,,,,,,0.81,,,0.86,0.76,44.7,,,46.2,43.1,1,1,0,12505,1800.1,2680,,,,,103.3,98.5,,,,,,,0.833,0.78,,,45.5,43.8
E05,Absolute Quantification,ABS,5_5,Ch1Unknown,1,Multi,53.3,ddPCR Supermix for Probes (no dUTP),1066,,,56.7,49.8,904,19520,403,501,629,18891,22.5,20424,,,,,,,,0.87,,,0.95,0.8,46.6,,,48.8,44.4,1,1,0,12400,1791.6,2261.1,,,,,55,51.5,,,,,,,0.913,0.833,,,47.7,45.5
E06,Absolute Quantification,ABS,5_6,Ch1Unknown,1,Multi,25.1,ddPCR Supermix for Probes (no dUTP),502,,,27.5,22.7,423,19620,181,242,331,19289,10.4,20043,,,,,,,,0.82,,,0.93,0.72,45.2,,,48.4,42,1,1,0,12226,1773.6,1994.2,,,,,26.3,23.9,,,,,,,0.88,0.77,,,46.8,43.6
E07,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,1.9,ddPCR Supermix for Probes (no dUTP),38,,,2.6,1.3,31,19395,0,31,1,19394,0,19426,,,,,,,,,,,,,,,,,,1,1,0,12366,1778.8,1795.7,,,,,2.24,1.56,,,,,,,,,,,,
E08,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,1.8,ddPCR Supermix for Probes (no dUTP),36,,,2.5,1.2,31,20524,0,31,0,20524,0,20555,,,,,,,,,,,,,,,,,,1,1,0,12327,1786,1801.9,,,,,2.11,1.48,,,,,,,,,,,,
F01,Absolute Quantification,ABS,6_1,Ch1Unknown,1,Multi,786,ddPCR Supermix for Probes (no dUTP),15720,,,802,770,9666,10176,6535,3131,4937,5239,234,19842,,,,,,,,0.774,,,0.795,0.752,43.6,,,44.3,42.9,1,1,0,12645,1906.6,7137.9,,,,,794,777,,,,,,,0.785,0.763,,,43.97,43.27
F02,Absolute Quantification,ABS,6_2,Ch1Unknown,1,Multi,391,ddPCR Supermix for Probes (no dUTP),7820,,,401,381,5725,14532,3007,2718,4089,10443,119,20257,,,,,,,,0.77,,,0.797,0.743,43.5,,,44.4,42.6,1,1,0,12598,1850.4,4887.9,,,,,396,386,,,,,,,0.784,0.756,,,43.95,43.07
F03,Absolute Quantification,ABS,6_3,Ch1Unknown,1,Multi,198,ddPCR Supermix for Probes (no dUTP),3960,,,205,191,3196,17441,1407,1789,2682,14759,63.4,20637,,,,,,,,0.762,,,0.797,0.727,43.2,,,44.4,42.1,1,1,0,12557,1830.4,3491.6,,,,,201.5,194.5,,,,,,,0.78,0.744,,,43.8,42.7
F04,Absolute Quantification,ABS,6_4,Ch1Unknown,1,Multi,101.7,ddPCR Supermix for Probes (no dUTP),2034,,,106.5,96.9,1725,19099,592,1133,1500,17599,28.3,20824,,,,,,,,0.82,,,0.87,0.76,45,,,46.5,43.4,1,1,0,12569,1823.9,2713.9,,,,,104.2,99.3,,,,,,,0.843,0.79,,,45.8,44.2
F05,Absolute Quantification,ABS,6_5,Ch1Unknown,1,Multi,51.3,ddPCR Supermix for Probes (no dUTP),1026,,,54.7,47.8,837,18796,305,532,799,17997,17,19633,,,,,,,,0.75,,,0.82,0.69,42.9,,,45.1,40.7,1,1,0,12555,1823.6,2281.1,,,,,53,49.5,,,,,,,0.787,0.718,,,44.1,41.8
F06,Absolute Quantification,ABS,6_6,Ch1Unknown,1,Multi,24.7,ddPCR Supermix for Probes (no dUTP),494,,,27.1,22.3,403,18970,142,261,374,18596,8.33,19373,,,,,,,,0.78,,,0.88,0.68,43.8,,,47,40.6,1,1,0,12298,1799.2,2017.6,,,,,26,23.5,,,,,,,0.83,0.73,,,45.4,42.1
F07,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,1.12,ddPCR Supermix for Probes (no dUTP),22.4,,,1.69,0.7,20,20982,0,20,1,20981,0,21002,,,,,,,,,,,,,,,,,,1,1,0,12467,1798.9,1809,,,,,1.39,0.89,,,,,,,,,,,,
F08,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,1.4,ddPCR Supermix for Probes (no dUTP),28,,,2,0.9,25,20814,0,25,1,20813,0,20839,,,,,,,,,,,,,,,,,,1,1,0,12029,1797.8,1810.1,,,,,1.71,1.15,,,,,,,,,,,,
G01,Absolute Quantification,ABS,NTC,Ch1NTC,1,Multi,1.5,ddPCR Supermix for Probes (no dUTP),30,,,2.1,1,28,21907,0,28,1,21906,0,21935,,,,,,,,,,,,,,,,,,1,1,0,12581,1738.4,1752.3,,,,,1.8,1.24,,,,,,,,,,,,
H01,Absolute Quantification,ABS,NTC,Ch1NTC,1,Multi,1.5,ddPCR Supermix for Probes (no dUTP),30,,,2.2,1,28,21673,0,28,0,21673,0,21701,,,,,,,,,,,,,,,,,,1,1,0,12874,1697.8,1712.2,,,,,1.82,1.25,,,,,,,,,,,,
A01,Absolute Quantification,ABS,1_1,Ch2Unknown,2,Multi,949,ddPCR Supermix for Probes (no dUTP),18980,,,967,931,11255,9078,8670,1221,2585,7857,614,20333,,,,,,,,0.826,,,0.849,0.804,45.2,,,45.9,44.6,1,1,0,10333,4739.4,7835.7,,,,,958,940,,,,,,,0.838,0.815,,,45.6,44.9
A02,Absolute Quantification,ABS,1_2,Ch2Unknown,2,Multi,484,ddPCR Supermix for Probes (no dUTP),9680,,,496,473,6429,12617,4638,865,1791,11752,318,19046,,,,,,,,0.828,,,0.858,0.798,45.3,,,46.2,44.4,1,1,0,10565,4596.6,6611.2,,,,,491,478,,,,,,,0.843,0.813,,,45.75,44.84
A03,Absolute Quantification,ABS,1_3,Ch2Unknown,2,Multi,245,ddPCR Supermix for Probes (no dUTP),4900,,,253,237,3634,15676,2557,550,1077,15126,164,19310,,,,,,,,0.841,,,0.882,0.801,45.7,,,46.9,44.5,1,1,0,10697,4585.5,5735.7,,,,,249.4,241.2,,,,,,,0.862,0.821,,,46.3,45.1
