,WELL,SAMPLE,CONCENTRATION,TARGET,POSITIVES,NEGATIVES,CH1+CH2+,CH1+CH2-,CH1-CH2+,CH1-CH2-,ACCEPTEDDROPLETS,ESTIMATED_PERCENTAGE,SAME_EST_WITHIN_SAMPLE
1,A01,S1_01,5162,1,18823,237,18615,208,235,2,19060,-2.91,TRUE
3,A02,S1_02,3990,1,17497,611,16961,536,591,20,18108,0.94,TRUE
5,A03,S1_03,2970,1,17198,1492,15944,1254,1387,105,18690,-0.63,TRUE
7,A04,S1_04,1994,1,15665,3523,12856,2809,2866,657,19188,0.95,TRUE
9,A05,S1_05,980,1,10841,8337,6229,4612,4706,3631,19178,0.79,TRUE
11,A06,S1_06,486,1,6386,12477,2212,4174,4194,8283,18863,0.64,TRUE
13,A07,S1_07,248,1,3727,15854,741,2986,2974,12880,19581,0.63,TRUE
15,A08,S1_08,120,1,1814,16896,194,1620,1655,15241,18710,0.46,TRUE
17,A09,S1_09,64.3,1,1045,18608,61,984,932,17676,19653,0.41,TRUE
19,A10,S1_10,27.9,1,460,19200,5,455,487,18713,19660,-0.76,TRUE
21,A11,S1_11,16.1,1,245,17770,1,244,258,17512,18015,-0.53,TRUE
23,A12,S1_12,7.2,1,112,18259,0,112,122,18137,18371,-0.53,TRUE
25,B01,S2_01,5150,1,18048,230,17850,198,226,4,18278,5.38,TRUE
27,B02,S2_02,4200,1,18053,523,17597,456,502,21,18576,6.59,TRUE
29,B03,S2_03,3080,1,17527,1379,16342,1185,1220,159,18906,10.12,TRUE
31,B04,S2_04,1977,1,15560,3562,13017,2543,2706,856,19122,9.71,TRUE
33,B05,S2_05,999,1,10914,8162,6753,4161,4263,3899,19076,7.73,TRUE
35,B06,S2_06,494,1,6824,13073,2799,4025,3902,9171,19897,7.25,TRUE
37,B07,S2_07,247,1,3696,15823,1086,2610,2490,13333,19519,8.17,TRUE
39,B08,S2_08,121,1,1891,17512,415,1476,1529,15983,19403,7.33,TRUE
41,B09,S2_09,58.6,1,997,19513,193,804,821,18692,20510,8.29,TRUE
43,B10,S2_10,31,1,497,18593,90,407,383,18210,19090,8.97,TRUE
45,B11,S2_11,15.9,1,255,18738,35,220,210,18528,18993,6.76,TRUE
47,B12,S2_12,7.4,1,115,18252,22,93,119,18133,18367,8.9,TRUE
49,C01,S3_01,5160,1,17756,223,17549,207,217,6,17979,10.25,TRUE
51,C02,S3_02,3870,1,10439,403,10090,349,380,23,10842,8.27,TRUE
53,C03,S3_03,2940,1,16688,1498,15519,1169,1238,260,18186,18.66,TRUE
55,C04,S3_04,1914,1,14248,3485,11943,2305,2432,1053,17733,16.55,TRUE
57,C05,S3_05,954,1,10298,8236,6786,3512,3731,4505,18534,16.6,TRUE
59,C06,S3_06,471,1,6510,13217,3217,3293,3300,9917,19727,16.54,TRUE
61,C07,S3_07,236,1,3342,15018,1388,1954,1963,13055,18360,18.01,TRUE
63,C08,S3_08,117,1,1766,16938,607,1159,1096,15842,18704,17.2,TRUE
65,C09,S3_09,57.4,1,926,18519,297,629,631,17888,19445,17.02,TRUE
67,C10,S3_10,30.7,1,486,18359,162,324,324,18035,18845,18.86,TRUE
69,C11,S3_11,15.9,1,261,19152,87,174,173,18979,19413,19.34,TRUE
71,C12,S3_12,7.1,1,106,17602,30,76,78,17524,17708,15.62,TRUE
73,D01,S4_01,5350,1,15696,168,15533,163,148,20,15864,34.96,TRUE
75,D02,S4_02,4220,1,17667,501,17279,388,442,59,18168,27.33,TRUE
77,D03,S4_03,3020,1,18066,1497,16946,1120,1149,348,19563,28.06,TRUE
79,D04,S4_04,2010,1,15136,3347,13083,2053,2004,1343,18483,29.79,TRUE
81,D05,S4_05,983,1,10245,7848,7356,2889,2936,4912,18093,28.59,TRUE
83,D06,S4_06,477,1,6548,13108,3941,2607,2701,10407,19656,28.56,TRUE
85,D07,S4_07,249,1,3568,15119,1865,1703,1690,13429,18687,27.99,TRUE
87,D08,S4_08,122,1,1888,17236,894,994,932,16304,19124,28.04,TRUE
89,D09,S4_09,57.6,1,960,19138,430,530,524,18614,20098,27.18,TRUE
91,D10,S4_10,31.5,1,491,18103,222,269,225,17878,18594,30.11,TRUE
93,D11,S4_11,14,1,227,18997,100,127,142,18855,19224,26.54,TRUE
95,D12,S4_12,6.9,1,106,17905,42,64,80,17825,18011,21.94,TRUE
97,E01,S5_01,5140,1,17706,228,17560,146,190,38,17934,45.28,TRUE
99,E02,S5_02,4090,1,17774,567,17392,382,427,140,18341,44.32,TRUE
101,E03,S5_03,3080,1,17338,1359,16462,876,896,463,18697,42.17,TRUE
103,E04,S5_04,2029,1,15004,3254,13382,1622,1607,1647,18258,43.2,TRUE
105,E05,S5_05,1005,1,10291,7629,8075,2216,2306,5323,17920,41.68,TRUE
107,E06,S5_06,490,1,6682,12932,4642,2040,2050,10882,19614,41.54,TRUE
109,E07,S5_07,234,1,3513,15933,2280,1233,1363,14570,19446,40.88,TRUE
111,E08,S5_08,116,1,1823,17566,1146,677,707,16859,19389,42.45,TRUE
113,E09,S5_09,58.9,1,952,18535,577,375,417,18118,19487,40.62,TRUE
115,E10,S5_10,31.1,1,508,18968,292,216,189,18779,19476,41.08,TRUE
117,E11,S5_11,15.5,1,231,17424,128,103,99,17325,17655,38.37,TRUE
119,E12,S5_12,6.3,1,104,19390,65,39,72,19318,19494,36.46,TRUE
121,F01,S6_01,5220,1,18299,220,18171,128,156,64,18519,58.83,TRUE
123,F02,S6_02,4170,1,18111,540,17816,295,322,218,18651,60.38,TRUE
125,F03,S6_03,3030,1,17329,1424,16710,619,718,706,18753,59.41,TRUE
127,F04,S6_04,1989,1,14766,3339,13618,1148,1229,2110,18105,58.44,TRUE
129,F05,S6_05,976,1,10594,8199,9071,1523,1656,6543,18793,58.78,TRUE
131,F06,S6_06,486,1,6127,11973,4969,1158,1314,10659,18100,58.57,TRUE
133,F07,S6_07,247,1,3698,15833,2884,814,894,14939,19531,58.52,TRUE
135,F08,S6_08,121,1,1836,17019,1378,458,421,16598,18855,58.99,TRUE
137,F09,S6_09,56.5,1,883,17963,642,241,255,17708,18846,55.31,TRUE
139,F10,S6_10,28.6,1,442,17991,330,112,133,17858,18433,56.85,TRUE
141,F11,S6_11,16.6,1,252,17684,188,64,66,17618,17936,58.72,TRUE
143,F12,S6_12,8.2,1,131,18775,96,35,35,18740,18906,57.5,TRUE
145,G01,S7_01,5020,1,18132,259,18054,78,106,153,18391,80.41,TRUE
147,G02,S7_02,4020,1,17415,590,17242,173,207,383,18005,79.1,TRUE
149,G03,S7_03,2970,1,16883,1467,16525,358,376,1091,18350,79.45,TRUE
151,G04,S7_04,1986,1,14901,3378,14335,566,619,2759,18279,79.43,TRUE
153,G05,S7_05,971,1,10609,8272,9885,724,776,7496,18881,79.36,TRUE
155,G06,S7_06,480,1,6499,12909,5934,565,606,12303,19408,79.6,TRUE
157,G07,S7_07,240,1,3442,15224,3172,270,363,14861,18666,81.52,TRUE
159,G08,S7_08,117,1,1931,18456,1729,202,202,18254,20387,80.08,TRUE
161,G09,S7_09,59.7,1,957,18372,855,102,120,18252,19329,78.85,TRUE
163,G10,S7_10,28,1,455,18893,408,47,51,18842,19348,80.37,TRUE
165,G11,S7_11,14.5,1,237,19156,211,26,30,19126,19393,78.83,TRUE
