Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,S1_01,Ch1Unknown,1,Multi,5380,ddPCR Supermix for Probes (no dUTP),107600,,,5560,5230,18783,196,18570,213,194,2,0,18979,,,,,,,,1.021,,,1.064,0.977,50.5,,,51.6,49.4,1,1,0,10062,1277.9,9971.1,,,,,5470,5300,,,,,,,1.043,0.998,,,51.1,50
A01,Absolute Quantification,ABS,S1_01,Ch2Unknown,2,Multi,5270,ddPCR Supermix for Probes (no dUTP),105400,,,5440,5120,18764,215,18570,213,194,2,0,18979,,,,,,,,1.021,,,1.064,0.977,50.5,,,51.6,49.4,1,1,0,9678,2489.2,9596.6,,,,,5350,5190,,,,,,,1.043,0.998,,,51.1,50
A02,Absolute Quantification,ABS,S1_02,Ch1Unknown,1,Multi,4170,ddPCR Supermix for Probes (no dUTP),83400,,,4270,4080,19021,567,18500,521,555,12,0,19588,,,,,,,,0.983,,,1.015,0.951,49.6,,,50.4,48.8,1,1,0,9775.4,1296.4,9529.9,,,,,4217,4120,,,,,,,0.999,0.966,,,49.98,49.15
A02,Absolute Quantification,ABS,S1_02,Ch2Unknown,2,Multi,4240,ddPCR Supermix for Probes (no dUTP),84800,,,4340,4150,19055,533,18500,521,555,12,0,19588,,,,,,,,0.983,,,1.015,0.951,49.6,,,50.4,48.8,1,1,0,9638.4,2457.8,9443,,,,,4290,4190,,,,,,,0.999,0.966,,,49.98,49.15
A03,Absolute Quantification,ABS,S1_03,Ch1Unknown,1,Multi,3170,ddPCR Supermix for Probes (no dUTP),63400,,,3230,3110,17688,1282,16547,1141,1204,78,0,18970,,,,,,,,0.982,,,1.009,0.954,49.5,,,50.2,48.8,1,1,0,9718,1327,9150.9,,,,,3202,3139,,,,,,,0.996,0.968,,,49.89,49.18
A03,Absolute Quantification,ABS,S1_03,Ch2Unknown,2,Multi,3230,ddPCR Supermix for Probes (no dUTP),64600,,,3290,3170,17751,1219,16547,1141,1204,78,0,18970,,,,,,,,0.982,,,1.009,0.954,49.5,,,50.2,48.8,1,1,0,9628,2426.2,9165.3,,,,,3262,3197,,,,,,,0.996,0.968,,,49.89,49.18
A04,Absolute Quantification,ABS,S1_04,Ch1Unknown,1,Multi,2081,ddPCR Supermix for Probes (no dUTP),41620,,,2119,2044,15507,3188,13003,2504,2652,536,39.3,18695,,,,,,,,0.974,,,0.998,0.949,49.3,,,50,48.7,1,1,0,9540.5,1316.6,8138.1,,,,,2100,2062,,,,,,,0.986,0.961,,,49.66,49.01
A04,Absolute Quantification,ABS,S1_04,Ch2Unknown,2,Multi,2137,ddPCR Supermix for Probes (no dUTP),42740,,,2176,2099,15655,3040,13003,2504,2652,536,39.3,18695,,,,,,,,0.974,,,0.998,0.949,49.3,,,50,48.7,1,1,0,9374.8,2311.6,8226.2,,,,,2157,2118,,,,,,,0.986,0.961,,,49.66,49.01
A05,Absolute Quantification,ABS,S1_05,Ch1Unknown,1,Multi,1043,ddPCR Supermix for Probes (no dUTP),20860,,,1062,1023,11580,8122,7053,4527,4789,3333,33.2,19702,,,,,,,,0.964,,,0.99,0.939,49.1,,,49.8,48.4,1,1,0,9934.1,1296.3,6373.2,,,,,1053,1033,,,,,,,0.977,0.951,,,49.43,48.75
A05,Absolute Quantification,ABS,S1_05,Ch2Unknown,2,Multi,1081,ddPCR Supermix for Probes (no dUTP),21620,,,1101,1061,11842,7860,7053,4527,4789,3333,33.2,19702,,,,,,,,0.964,,,0.99,0.939,49.1,,,49.8,48.4,1,1,0,9486.8,2235.6,6594,,,,,1091,1071,,,,,,,0.977,0.951,,,49.43,48.75
A06,Absolute Quantification,ABS,S1_06,Ch1Unknown,1,Multi,524,ddPCR Supermix for Probes (no dUTP),10480,,,537,511,6559,11684,2373,4186,4256,7428,0,18243,,,,,,,,0.987,,,1.021,0.953,49.7,,,50.5,48.8,1,1,0,10111,1259.9,4442.3,,,,,531,518,,,,,,,1.004,0.969,,,50.1,49.23
A06,Absolute Quantification,ABS,S1_06,Ch2Unknown,2,Multi,531,ddPCR Supermix for Probes (no dUTP),10620,,,544,518,6629,11614,2373,4186,4256,7428,0,18243,,,,,,,,0.987,,,1.021,0.953,49.7,,,50.5,48.8,1,1,0,9281.4,2091,4703.8,,,,,538,525,,,,,,,1.004,0.969,,,50.1,49.23
A07,Absolute Quantification,ABS,S1_07,Ch1Unknown,1,Multi,260,ddPCR Supermix for Probes (no dUTP),5200,,,268,252,4023,16251,855,3168,3199,13052,4.57,20274,,,,,,,,0.991,,,1.035,0.948,49.8,,,50.9,48.7,1,1,0,10425,1251.1,3071.4,,,,,264.3,256.1,,,,,,,1.014,0.969,,,50.3,49.2
